Entity,trait,structure_measured,trait_groupings,trait_group_for_portal,core_trait,keywords
https://w3id.org/APD/traits/trait_0012414,flower_anther_connective_extension,reproductive shoot system; flower,androecium morphology trait,flower morphology,NA,reproduction; androecium; stamen; anther; pollen; connective; anther theca
https://w3id.org/APD/traits/trait_0012415,flower_anther_dehiscence,reproductive shoot system; flower,androecium morphology trait,flower morphology,NA,reproduction; androecium; stamen; anther; pollen; stomium; anther dehiscence zone
https://w3id.org/APD/traits/trait_0012416,flower_anther_orientation,reproductive shoot system; flower,androecium morphology trait,flower morphology,NA,reproduction; androecium; stamen; anther; pollen; stomium; anther dehiscence zone
https://w3id.org/APD/traits/trait_0012417,flower_colour,reproductive shoot system; flower,perianth morphology trait,flower morphology,core_trait,reproduction; petal; corolla; sepal; calyx; perianth
https://w3id.org/APD/traits/trait_0012418,perianth_colour,reproductive shoot system; flower,perianth morphology trait,flower morphology,NA,reproduction; petal; corolla; sepal; calyx; perianth
https://w3id.org/APD/traits/trait_0012419,flower_length,reproductive shoot system; flower,perianth morphology trait,flower morphology,NA,reproduction; petal; corolla; sepal; calyx; perianth
https://w3id.org/APD/traits/trait_0012420,flower_diameter,reproductive shoot system; flower,perianth morphology trait,flower morphology,core_trait,reproduction; petal; corolla; sepal; calyx; perianth
https://w3id.org/APD/traits/trait_0012421,flower_orientation,reproductive shoot system; flower,perianth morphology trait,flower morphology,NA,reproduction; petal; corolla; sepal; calyx; perianth
https://w3id.org/APD/traits/trait_0012422,flower_count_maximum,reproductive shoot system; flower,floral organ morphology trait,flower morphology,NA,reproduction; perianth; corolla
https://w3id.org/APD/traits/trait_0012431,flower_fertile_stamens_count,reproductive shoot system; flower,androecium morphology trait,flower morphology,NA,reproduction; androecium; stamen
https://w3id.org/APD/traits/trait_0012432,flower_filament,reproductive shoot system; flower,androecium morphology trait,flower morphology,NA,reproduction; androecium; stamen; filament; anther
https://w3id.org/APD/traits/trait_0012433,flower_filament_fusion,reproductive shoot system; flower,androecium morphology trait,flower morphology,NA,reproduction; androecium; stamen; filament; connective; staminode
https://w3id.org/APD/traits/trait_0012434,flower_filament_fusion_to_inner_perianth,reproductive shoot system; flower,androecium morphology trait,flower morphology,NA,reproduction; androecium; stamen; filament; connective; staminode; perianth
https://w3id.org/APD/traits/trait_0012441,flower_gynoecium_phyllotaxis,reproductive shoot system; flower,gynoecium morphology trait,flower morphology,NA,"reproduction; gynoecium; carpel; whorl, floral whorl; phyllotaxy"
