taxon_name,id,url
Isolepis cernua var. setiformis,302a2a82-8b9d-48bd-8e84-318afb364671,https://vicflora.rbg.vic.gov.au/flora/taxon/302a2a82-8b9d-48bd-8e84-318afb364671
Isolepis congrua,9d4d3981-3fc9-447c-8bf9-b3e61ffb0eea,https://vicflora.rbg.vic.gov.au/flora/taxon/9d4d3981-3fc9-447c-8bf9-b3e61ffb0eea
Isolepis crassiuscula,1ea81762-d74c-4aa4-817e-d327e237bb60,https://vicflora.rbg.vic.gov.au/flora/taxon/1ea81762-d74c-4aa4-817e-d327e237bb60
Isolepis fluitans,160bc8c9-7a9f-49c7-837a-9da63e1540d0,https://vicflora.rbg.vic.gov.au/flora/taxon/160bc8c9-7a9f-49c7-837a-9da63e1540d0
Isolepis fluitans var. fluitans,50ee975a-324e-433b-8a2f-c3f5d66a227e,https://vicflora.rbg.vic.gov.au/flora/taxon/50ee975a-324e-433b-8a2f-c3f5d66a227e
Isolepis fluitans var. lenticularis,4575eca3-f262-427f-9746-7fd6b6c9d8bb,https://vicflora.rbg.vic.gov.au/flora/taxon/4575eca3-f262-427f-9746-7fd6b6c9d8bb
Isolepis gaudichaudiana,4e75cea9-110a-41f5-9451-f5b7487997ab,https://vicflora.rbg.vic.gov.au/flora/taxon/4e75cea9-110a-41f5-9451-f5b7487997ab
Isolepis habra,b3da5736-6962-4d67-829b-0ce84686a091,https://vicflora.rbg.vic.gov.au/flora/taxon/b3da5736-6962-4d67-829b-0ce84686a091
Isolepis hookeriana,dd957ca6-9ca6-44e8-b862-9cb3d8b557da,https://vicflora.rbg.vic.gov.au/flora/taxon/dd957ca6-9ca6-44e8-b862-9cb3d8b557da
Isolepis hystrix,a0699880-15a6-4825-a148-54788c8b1243,https://vicflora.rbg.vic.gov.au/flora/taxon/a0699880-15a6-4825-a148-54788c8b1243
Isolepis inundata,eee07df5-bbbd-410f-b761-28bb24028eb2,https://vicflora.rbg.vic.gov.au/flora/taxon/eee07df5-bbbd-410f-b761-28bb24028eb2
Isolepis lenticularis,fad734ee-0068-4160-be10-de74b6895575,https://vicflora.rbg.vic.gov.au/flora/taxon/fad734ee-0068-4160-be10-de74b6895575
Isolepis levynsiana,b5066077-4258-4293-a121-2ab368da7fe5,https://vicflora.rbg.vic.gov.au/flora/taxon/b5066077-4258-4293-a121-2ab368da7fe5
Isolepis marginata,984dcf1f-c269-4de0-b9b3-a37310842144,https://vicflora.rbg.vic.gov.au/flora/taxon/984dcf1f-c269-4de0-b9b3-a37310842144
Isolepis montivaga,68437cc9-13dc-4a86-881c-06ba21fcb4d1,https://vicflora.rbg.vic.gov.au/flora/taxon/68437cc9-13dc-4a86-881c-06ba21fcb4d1
Isolepis nodosa,2ecb70a8-8527-4d46-8ed1-e01447ccd0a4,https://vicflora.rbg.vic.gov.au/flora/taxon/2ecb70a8-8527-4d46-8ed1-e01447ccd0a4
Isolepis platycarpa,af1aced6-0647-45fc-abb7-678f3b0916ce,https://vicflora.rbg.vic.gov.au/flora/taxon/af1aced6-0647-45fc-abb7-678f3b0916ce
Isolepis producta,e79c1a99-dc36-4c7f-9ae3-07414bf1f4b6,https://vicflora.rbg.vic.gov.au/flora/taxon/e79c1a99-dc36-4c7f-9ae3-07414bf1f4b6
Isolepis prolifera,51886dd6-3889-4a9c-ae54-c9b2994fe2f2,https://vicflora.rbg.vic.gov.au/flora/taxon/51886dd6-3889-4a9c-ae54-c9b2994fe2f2
Isolepis sepulcralis,64c70d49-da29-43c9-a055-95831dc0edb0,https://vicflora.rbg.vic.gov.au/flora/taxon/64c70d49-da29-43c9-a055-95831dc0edb0
Isolepis setiformis,f49829c6-5e5e-4af3-911f-2e271efac442,https://vicflora.rbg.vic.gov.au/flora/taxon/f49829c6-5e5e-4af3-911f-2e271efac442
Isolepis sp. aff. montivaga (Benambra Creek),ba48db6e-961a-4ee5-8f7c-5dcbe7dd64b2,https://vicflora.rbg.vic.gov.au/flora/taxon/ba48db6e-961a-4ee5-8f7c-5dcbe7dd64b2
Isolepis stellata,20065706-0592-40d4-ae50-a1d3a1d8c94c,https://vicflora.rbg.vic.gov.au/flora/taxon/20065706-0592-40d4-ae50-a1d3a1d8c94c
Isolepis subtilissima,018001fc-d6f2-43d4-9389-ef161fd54568,https://vicflora.rbg.vic.gov.au/flora/taxon/018001fc-d6f2-43d4-9389-ef161fd54568
Isolepis trachysperma,1b9421eb-d1b2-41df-8bd0-fae46d74510b,https://vicflora.rbg.vic.gov.au/flora/taxon/1b9421eb-d1b2-41df-8bd0-fae46d74510b
Isolepis victoriensis,097a9d43-ff8c-4f43-b32e-a45f08198fdd,https://vicflora.rbg.vic.gov.au/flora/taxon/097a9d43-ff8c-4f43-b32e-a45f08198fdd
Isolepis wakefieldiana,6432f4e6-113f-460e-983e-c7087cf7b7c0,https://vicflora.rbg.vic.gov.au/flora/taxon/6432f4e6-113f-460e-983e-c7087cf7b7c0
Isopogon anemonifolius,cfa625bc-ceb4-49e3-bf98-9a1d0829b1f0,https://vicflora.rbg.vic.gov.au/flora/taxon/cfa625bc-ceb4-49e3-bf98-9a1d0829b1f0
