taxon_name,url,original_name,aligned_name,accepted_name,taxon_rank,taxonomic_status,aligned_reason
Dracaena angustifolia,http://eflora.nt.gov.au/factsheet?id=65,Dracaena angustifolia,Dracaena angustifolia,Dracaena angustifolia,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Gunniopsis quadrifida,http://eflora.nt.gov.au/factsheet?id=68,Gunniopsis quadrifida,Gunniopsis quadrifida,Gunniopsis quadrifida,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Gunniopsis septifraga,http://eflora.nt.gov.au/factsheet?id=69,Gunniopsis septifraga,Gunniopsis septifraga,Gunniopsis septifraga,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Gunniopsis zygophylloides,http://eflora.nt.gov.au/factsheet?id=70,Gunniopsis zygophylloides,Gunniopsis zygophylloides,Gunniopsis zygophylloides,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Sesuvium portulacastrum,http://eflora.nt.gov.au/factsheet?id=72,Sesuvium portulacastrum,Sesuvium portulacastrum,Sesuvium portulacastrum,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Tetragonia eremaea,http://eflora.nt.gov.au/factsheet?id=74,Tetragonia eremaea,Tetragonia eremaea,Tetragonia eremaea,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Trianthema compactum,http://eflora.nt.gov.au/factsheet?id=76,Trianthema compactum,Trianthema compactum,Trianthema compactum,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Trianthema glossostigmum,http://eflora.nt.gov.au/factsheet?id=77,Trianthema glossostigmum,Trianthema glossostigmum,Trianthema glossostigmum,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Trianthema megaspermum,http://eflora.nt.gov.au/factsheet?id=78,Trianthema megaspermum,Trianthema megaspermum,Trianthema megaspermum,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Trianthema oxycalyptrum,http://eflora.nt.gov.au/factsheet?id=79,Trianthema oxycalyptrum,Trianthema oxycalyptrum,Trianthema oxycalyptrum,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Trianthema patellitectum,http://eflora.nt.gov.au/factsheet?id=80,Trianthema patellitectum,Trianthema patellitectum,Trianthema patellitectum,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Trianthema pilosum,http://eflora.nt.gov.au/factsheet?id=81,Trianthema pilosum,Trianthema pilosum,Trianthema pilosum,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Trianthema portulacastrum,http://eflora.nt.gov.au/factsheet?id=82,Trianthema portulacastrum,Trianthema portulacastrum,Trianthema portulacastrum,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Trianthema rhynchocalyptrum,http://eflora.nt.gov.au/factsheet?id=83,Trianthema rhynchocalyptrum,Trianthema rhynchocalyptrum,Trianthema rhynchocalyptrum,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Trianthema triquetrum,http://eflora.nt.gov.au/factsheet?id=84,Trianthema triquetrum,Trianthema triquetrum,Trianthema triquetrum,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Trianthema turgidifolium,http://eflora.nt.gov.au/factsheet?id=86,Trianthema turgidifolium,Trianthema turgidifolium,Trianthema turgidifolium,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Zaleya galericulata,http://eflora.nt.gov.au/factsheet?id=88,Zaleya galericulata,Zaleya galericulata,Zaleya galericulata,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Caldesia acanthocarpa,http://eflora.nt.gov.au/factsheet?id=91,Caldesia acanthocarpa,Caldesia acanthocarpa,Caldesia acanthocarpa,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Caldesia oligococca,http://eflora.nt.gov.au/factsheet?id=92,Caldesia oligococca,Caldesia oligococca,Caldesia oligococca,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Achyranthes aspera,http://eflora.nt.gov.au/factsheet?id=96,Achyranthes aspera,Achyranthes aspera,Achyranthes aspera,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Aerva javanica,http://eflora.nt.gov.au/factsheet?id=98,Aerva javanica,Aerva javanica,Aerva javanica,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Alternanthera angustifolia,http://eflora.nt.gov.au/factsheet?id=100,Alternanthera angustifolia,Alternanthera angustifolia,Alternanthera angustifolia,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Alternanthera brasiliana,http://eflora.nt.gov.au/factsheet?id=102,Alternanthera brasiliana,Alternanthera brasiliana,Alternanthera brasiliana,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Alternanthera denticulata,http://eflora.nt.gov.au/factsheet?id=104,Alternanthera denticulata,Alternanthera denticulata,Alternanthera denticulata,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Alternanthera nana,http://eflora.nt.gov.au/factsheet?id=106,Alternanthera nana,Alternanthera nana,Alternanthera nana,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Alternanthera nodiflora,http://eflora.nt.gov.au/factsheet?id=107,Alternanthera nodiflora,Alternanthera nodiflora,Alternanthera nodiflora,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Alternanthera pungens,http://eflora.nt.gov.au/factsheet?id=108,Alternanthera pungens,Alternanthera pungens,Alternanthera pungens,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Amaranthus cochleitepalus,http://eflora.nt.gov.au/factsheet?id=110,Amaranthus cochleitepalus,Amaranthus cochleitepalus,Amaranthus cochleitepalus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Amaranthus grandiflorus,http://eflora.nt.gov.au/factsheet?id=111,Amaranthus grandiflorus,Amaranthus grandiflorus,Amaranthus grandiflorus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Amaranthus hybridus,http://eflora.nt.gov.au/factsheet?id=112,Amaranthus hybridus,Amaranthus hybridus,Amaranthus hybridus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Amaranthus interruptus,http://eflora.nt.gov.au/factsheet?id=113,Amaranthus interruptus,Amaranthus interruptus,Amaranthus interruptus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Amaranthus undulatus,http://eflora.nt.gov.au/factsheet?id=114,Amaranthus leptostachyus,Amaranthus leptostachyus,Amaranthus undulatus,species,accepted,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2026-01-08)
Amaranthus mitchellii,http://eflora.nt.gov.au/factsheet?id=115,Amaranthus mitchellii,Amaranthus mitchellii,Amaranthus mitchellii,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Amaranthus undulatus,http://eflora.nt.gov.au/factsheet?id=116,Amaranthus pallidiflorus,Amaranthus pallidiflorus,Amaranthus undulatus,species,accepted,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2026-01-08)
Amaranthus spinosus,http://eflora.nt.gov.au/factsheet?id=117,Amaranthus spinosus,Amaranthus spinosus,Amaranthus spinosus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Amaranthus tricolor,http://eflora.nt.gov.au/factsheet?id=118,Amaranthus tricolor,Amaranthus tricolor,Amaranthus tricolor,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Amaranthus viridis,http://eflora.nt.gov.au/factsheet?id=119,Amaranthus viridis,Amaranthus viridis,Amaranthus viridis,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Celosia argentea,http://eflora.nt.gov.au/factsheet?id=121,Celosia argentea,Celosia argentea,Celosia argentea,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Gomphrena affinis,http://eflora.nt.gov.au/factsheet?id=124,Gomphrena affinis,Gomphrena affinis,Gomphrena affinis,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Gomphrena brachystylis,http://eflora.nt.gov.au/factsheet?id=125,Gomphrena brachystylis,Gomphrena brachystylis,Gomphrena brachystylis,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Gomphrena canescens,http://eflora.nt.gov.au/factsheet?id=126,Gomphrena canescens,Gomphrena canescens,Gomphrena canescens,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Gomphrena celosioides,http://eflora.nt.gov.au/factsheet?id=127,Gomphrena celosioides,Gomphrena celosioides,Gomphrena celosioides,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Gomphrena conica,http://eflora.nt.gov.au/factsheet?id=129,Gomphrena conica,Gomphrena conica,Gomphrena conica,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Gomphrena cunninghamii,http://eflora.nt.gov.au/factsheet?id=130,Gomphrena cunninghamii,Gomphrena cunninghamii,Gomphrena cunninghamii,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Gomphrena diffusa,http://eflora.nt.gov.au/factsheet?id=131,Gomphrena diffusa,Gomphrena diffusa,Gomphrena diffusa,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Gomphrena flaccida,http://eflora.nt.gov.au/factsheet?id=132,Gomphrena flaccida,Gomphrena flaccida,Gomphrena flaccida,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Gomphrena lanata,http://eflora.nt.gov.au/factsheet?id=133,Gomphrena lanata,Gomphrena lanata,Gomphrena lanata,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Gomphrena parviflora,http://eflora.nt.gov.au/factsheet?id=134,Gomphrena parviflora,Gomphrena parviflora,Gomphrena parviflora,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Surreya diandra,http://eflora.nt.gov.au/factsheet?id=136,Surreya diandra,Surreya diandra,Surreya diandra,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
