source_primary_key,source_primary_citation
Bryant_2024,"C. Bryant, M. C. Ball, J. Borevitz, M. T. Brookhouse, H. Carle, P. Cunningham, M. Davey, J. Davies, A. Eason, J. D. Erskine, T. I. Fuenzalida, D. Grishin, R. Harris, J. Kriticos, A. Midson, A. B. Nicotra, A. Nshuti, J. Ward-Jones, Y. Yau, O. Young, and H. Bothwell. “Elevation-dependent patterns of borer-mediated snow-gum dieback are associated with subspecies' trait differences and environmental variation”.   _Austral Ecology_ 49.3 (2024). ISSN: 1442-9993.  doi:  [10.1111/aec.13508](https://doi.org/10.1111%2Faec.13508)."
Buckton_2019,"G. Buckton, A. W. Cheesman, N. C. Munksgaard, C. M. Wurster, M. J. Liddell, and L. A. Cernusak. “Functional traits of lianas in an Australian lowland rainforest align with post-disturbance rather than dry season advantage”.   _Austral Ecology_ 44.6 (2019), pp. 983-994.  doi:  [10.1111/aec.12764](https://doi.org/10.1111%2Faec.12764)."
Burrows_2001,"G. E. Burrows. “Comparative anatomy of the photosynthetic organs of 39 xeromorphic species from subhumid New South Wales, Australia”.   _International Journal of Plant Sciences_ 162 (2001), pp. 411-430.  doi:  [10.1086/319579](https://doi.org/10.1086%2F319579)."
Burrows_2008,"N. D. Burrows, G. Wardell-Johnson, and B. Ward. “Post-fire juvenile period of plants in south-west Australia forests and implications for fire management”.   _Journal of the Royal Society of Western Australia_ 91 (2008), pp. 163-174."
Burrows_2008_2,"N. D. Burrows, G. Wardell-Johnson, and B. Ward. “Post-fire juvenile period of plants in south-west Australia forests and implications for fire management”.   _Journal of the Royal Society of Western Australia_ 91 (2008), pp. 163-174. ISSN: 0035922X.  url:  [http://hdl.handle.net/20.500.11937/19156](http://hdl.handle.net/20.500.11937/19156) (visited on 03/27/2025)."
Burrows_2020,"N. Burrows. _Data from 'Plant Ecological Attributes' theme, NatureMap, DBCA, WA_. 2020."
Butler_2004,"D. W. Butler, R. J. Green, D. Lamb, W. J. F. Mcdonald, and P. I. Forster. “Biogeography of seed-dispersal syndromes, life-forms and seed sizes among woody rain-forest plants in Australia's subtropics”.   _Journal of Biogeography_ 34.10 (2007), pp. 1736-1750. ISSN: 1365-2699.  doi:  [10.1111/j.1365-2699.2007.01734.x](https://doi.org/10.1111%2Fj.1365-2699.2007.01734.x)."
CPBR_2002,Centre for Plant Biodiversity Research. _EUCLID 2.0: Eucalypts of Australia_. 2002.  url:  [http://apps.lucidcentral.org/euclid/text/intro/index.html](http://apps.lucidcentral.org/euclid/text/intro/index.html).
Caldwell_2016,"E. Caldwell, J. Read, and G. D. Sanson. “Which leaf mechanical traits correlate with insect herbivory among feeding guilds?”.   _Annals of Botany_ 117 (2015), pp. 349-361.  doi:  [10.1093/aob/mcv178](https://doi.org/10.1093%2Faob%2Fmcv178)."
Campbell_2006,"M. L. Campbell and P. J. Clarke. “Response of montane wet sclerophyll forest understorey species to fire- evidence from high and low intensity fires”.   _Proceedings of the Linnean Society of New South Wales_ 127 (2006), pp. 63-73.  doi:  [unknown](https://doi.org/unknown)."
Canham_2009,"C. A. Canham, R. H. Froend, and W. D. Stock. “Water stress vulnerability of four Banksia species in contrasting ecohydrological habitats on the Gnangara Mound, Western Australia”.   _Plant, Cell and Environment_ 32.1 (2009), pp. 64-72.  doi:  [10.1111/j.1365-3040.2008.01904.x](https://doi.org/10.1111%2Fj.1365-3040.2008.01904.x)."
Canham_2023,"C. A. Canham, C. Woods, S. A. Setterfield, E. J. Veneklaas, F. L. Freestone, L. S. Beesley, and M. M. Douglas. “Functional traits of riparian trees in the lower Fitzroy River, Western Australia”.   _Ecohydrology_ 16.1 (2023).  doi:  [10.1002/eco.2488](https://doi.org/10.1002%2Feco.2488)."
Carey_2003,"A. C. &. M. E. &. P. H. &. M. L. &. T. M. &. P. O. &. S. S. &. D. S. &. N. Webb. _Wildfires in the ACT 2003: Report on Initial Impacts on Natural Ecosystems_. Technical Report No. 17. Environment ACT, 2003.  url:  [https://www.act.gov.au/__data/assets/pdf_file/0009/2539593/17-wildfires-in-the-act-report-on-initial-impacts-on-natural-ecosystems-2003.pdf](https://www.act.gov.au/__data/assets/pdf_file/0009/2539593/17-wildfires-in-the-act-report-on-initial-impacts-on-natural-ecosystems-2003.pdf)."
Catford_2014,"J. A. Catford, W. K. Morris, P. A. Vesk, C. J. Gippel, and B. J. Downes. “Species and environmental characteristics point to flow regulation and drought as drivers of riparian plant invasion”.   _Diversity and Distributions_ 20 (2014), pp. 1084-1096.  doi:  [10.1111/ddi.12225](https://doi.org/10.1111%2Fddi.12225)."
Cernusak_2006,"L. A. Cernusak, L. B. Hutley, J. Beringer, and N. J. Tapper. “Stem and leaf gas exchange and their responses to fire in a north Australian tropical savanna”.   _Plant, Cell and Environment_ 29.4 (2006), pp. 632-646.  doi:  [10.1111/j.1365-3040.2005.01442.x](https://doi.org/10.1111%2Fj.1365-3040.2005.01442.x)."
Cernusak_2011,"L. A. Cernusak, L. B. Hutley, J. Beringer, J. A. Holtum, and B. L. Turner. “Photosynthetic physiology of eucalypts along a sub-continental rainfall gradient in northern Australia”.   _Agricultural and Forest Meteorology_ 151.11 (2011), pp. 1462-1470.  doi:  [10.1016/j.agrformet.2011.01.006](https://doi.org/10.1016%2Fj.agrformet.2011.01.006)."
Chandler_2002,"G. T. Chandler, M. D. Crisp, L. W. Cayzer, and R. J. Bayer. “Monograph of Gastrolobium (Fabaceae: Mirbelieae)”.   _Australian Systematic Botany_ 15 (2002), pp. 619-739.  doi:  [10.1071/sb01010](https://doi.org/10.1071%2Fsb01010)."
Cheal_2017,"D. Cheal. _Growth stages and tolerable fire intervals for Victoria's native vegetation data sets_. Fire and adaptive management, report no. 84. Victorian Government Department of Sustainability and Environment Melbourne, 2010."
Cheesman_2020,"A. W. Cheesman, H. Duff, K. Hill, L. A. Cernusak, and F. A. McInerney. “Isotopic and morphologic proxies for reconstructing light environment and leaf function of fossil leaves: A modern calibration in the Daintree Rainforest, Australia”.   _American Journal of Botany_ 107 (2020), pp. 1165-1176.  doi:  [10.1002/ajb2.1523](https://doi.org/10.1002%2Fajb2.1523)."
Chen_2017,"Chen, S.-C., Cornwell, W., Z. H.-X., Moles, and A. T. “Plants show more flesh in the tropics: Variation in fruit type along latitudinal and climatic gradients.”.   _Ecography_ 40 (2017), pp. 531-538.  doi:  [abs/10.1111/ecog.02010](https://doi.org/abs%2F10.1111%2Fecog.02010)."
Chinnock_2007,"R. J. Chinnock. _Eremophila and allied genera: A monograph of the plant family Myoporaceae_. Rosenberg, 2007. ISBN: 9781877058165."
Choat_2006,"B. Choat, M. C. Ball, J. G. Luly, C. F. Donnelly, and J. A. M. Holtum. “Seasonal patterns of leaf gas exchange and water relations in dry rain forest trees of contrasting leaf phenology”.   _Tree Physiology_ 26.5 (2006), pp. 657-664.  doi:  [10.1093/treephys/26.5.657](https://doi.org/10.1093%2Ftreephys%2F26.5.657)."
Choat_2012,"B. Choat, S. Jansen, T. J. Brodribb, H. Cochard, S. Delzon, R. Bhaskar, S. J. Bucci, T. S. Feild, S. M. Gleason, U. G. Hacke, A. L. Jacobsen, F. Lens, H. Maherali, J. Martinez-Vilalta, S. Mayr, M. Mencuccini, P. J. Mitchell, A. Nardini, J. Pittermann, R. B. Pratt, J. S. Sperry, M. Westoby, I. J. Wright, and A. E. Zanne. “Global convergence in the vulnerability of forests to drought”.   _Nature_ 491.7426 (2012), pp. 752-755.  doi:  [10.1038/nature11688](https://doi.org/10.1038%2Fnature11688)."
Clarke_2009,"P. J. Clarke, K. J. E. Knox, M. L. Campbell, and L. M. Copeland. “Post-fire recovery of woody plants in the New England Tableland Bioregion”.   _Cunninghamia_ 11 (2009), pp. 221-239.  doi:  [https://hdl.handle.net/1959.11/4907](https://doi.org/https%3A%2F%2Fhdl.handle.net%2F1959.11%2F4907)."
Clarke_2015,"P. J. Clarke, M. J. Lawes, B. P. Murphy, J. Russell-Smith, C. E. Nano, R. Bradstock, N. J. Enright, J. B. Fontaine, C. R. Gosper, I. Radford, J. J. Midgley, and R. M. Gunton. “A synthesis of postfire recovery traits of woody plants in Australian ecosystems”.   _Science of The Total Environment_ 534 (2015), pp. 31-42.  doi:  [10.1016/j.scitotenv.2015.04.002](https://doi.org/10.1016%2Fj.scitotenv.2015.04.002)."
Cochrane_2001,"A. Cochrane, K. Brown, S. Cunneen, and and A. Kelly. “Variation in seed production and germination in 22 rare and threatened Western Australian Verticordia (Myrtaceae)”.   _Journal of the Royal Society of Western Australia_ 84 (2001), pp. 103-110."
Cochrane_2017,"A. Cochrane. “Modelling seed germination response to temperature in Eucalyptus Her. (Myrtaceae) species in the context of global warming”.   _Seed Science Research_ 27.2 (2017), pp. 99-109.  doi:  [10.1017/s0960258517000010](https://doi.org/10.1017%2Fs0960258517000010)."
Cochrane_2018,"A. Cochrane. “Temperature thresholds for germination in 20 short-range endemic plant species from a Greenstone Belt in southern Western Australia”.   _Plant Biology_ 22.S1 (2019). Ed. by J. Scheepens, pp. 103-112.  doi:  [10.1111/plb.12951](https://doi.org/10.1111%2Fplb.12951)."
Cochrane_2019,"A. Cochrane. “Effects of temperature on germination in eight Western Australian herbaceous species”.   _Folia Geobotanica_ 54.1-2 (2019), pp. 29-42.  doi:  [10.1007/s12224-019-09335-6](https://doi.org/10.1007%2Fs12224-019-09335-6)."
Collette_2021,"J. C. Collette and M. K. J. Ooi. “Distribution of seed dormancy classes across a fire-prone continent: effects of rainfall seasonality and temperature”.   _Annals of Botany_ 127.5 (2021), pp. 613-620.  doi:  [10.1093/aob/mcaa203](https://doi.org/10.1093%2Faob%2Fmcaa203)."
Cooper_2004,"W. Cooper and W. T. Cooper. _Fruits of the Australian tropical rainforest_. Nokomis Editions, 2004. ISBN: 9780958174213."
Cooper_2013,"W. Cooper and W. T. Cooper. _Australian rainforest fruits_. CSIRO Publishing, 2013, p. 272."
Cowling_1987,"R. M. Cowling, B. B. Lamont, and S. M. Pierce. “Seed bank dynamics of four co-occurring Banksia species”.   _The Journal of Ecology_ 75.2 (1987), pp. 289-302.  doi:  [10.2307/2260419](https://doi.org/10.2307%2F2260419)."
Craven_1987,"L. Craven. “A taxonomic Revision of Calytrix Labill. (Myrtaceae)”.   _Brunonia_ 10 (1987), pp. 1-138.  doi:  [10.1071/bru9870001](https://doi.org/10.1071%2Fbru9870001)."
